year,province,district,total_enrolment,dropout_rate_pct,dropout_count,male_dropout_rate_pct,female_dropout_rate_pct,repetition_rate_pct,retention_rate_g1_g9_pct,retention_rate_g1_g11_pct,poverty_headcount_pct,estate_pop_pct,median_hh_income_lkr,pct_1ab_schools,student_teacher_ratio,pct_schools_with_computer_labs,pct_schools_with_sanitation,pct_tamil_medium_schools,roads_access_index,gender_dropout_gap,pre_crisis_baseline_rate,crisis_surge_ratio,infrastructure_deficit_index
2014,North Western,Kurunegala,355000,1.77,6283,1.98,1.56,0.74,91.5,86.7,4.6,0.2,56800,9.6,18.9,61.4,89.2,7.4,78.5,0.42,1.59,1.11,34.28
2015,North Western,Kurunegala,356774,1.61,5744,1.8,1.42,0.73,92.3,87.9,4.6,0.2,56800,9.6,18.9,61.4,89.2,7.4,78.5,0.38,1.59,1.01,34.28
2016,North Western,Kurunegala,358550,1.54,5521,1.72,1.36,0.76,92.6,88.5,4.6,0.2,56800,9.6,18.9,61.4,89.2,7.4,78.5,0.36,1.59,0.97,34.28
2017,North Western,Kurunegala,360324,1.54,5548,1.72,1.36,0.72,92.6,88.5,4.6,0.2,56800,9.6,18.9,61.4,89.2,7.4,78.5,0.36,1.59,0.97,34.28
2018,North Western,Kurunegala,362100,1.63,5902,1.83,1.43,0.7,92.2,87.8,4.6,0.2,56800,9.6,18.9,61.4,89.2,7.4,78.5,0.4,1.59,1.03,34.28
2019,North Western,Kurunegala,363874,1.59,5785,1.78,1.4,0.61,92.4,88.1,4.6,0.2,56800,9.6,18.9,61.4,89.2,7.4,78.5,0.38,1.59,1.0,34.28
2020,North Western,Kurunegala,365650,1.45,5301,1.62,1.28,0.63,93.0,89.1,4.6,0.2,56800,9.6,18.9,61.4,89.2,7.4,78.5,0.34,1.59,0.91,34.28
2021,North Western,Kurunegala,367425,1.28,4703,1.43,1.13,0.6,93.9,90.4,4.6,0.2,56800,9.6,18.9,61.4,89.2,7.4,78.5,0.3,1.59,0.81,34.28
2022,North Western,Kurunegala,369200,2.52,9303,2.82,2.22,1.1,87.9,81.1,4.6,0.2,56800,9.6,18.9,61.4,89.2,7.4,78.5,0.6,1.59,1.58,34.28
2023,North Western,Kurunegala,370975,2.24,8309,2.51,1.97,0.98,89.2,83.2,4.6,0.2,56800,9.6,18.9,61.4,89.2,7.4,78.5,0.54,1.59,1.41,34.28
2024,North Western,Kurunegala,372750,1.78,6634,1.99,1.57,0.82,91.5,86.7,4.6,0.2,56800,9.6,18.9,61.4,89.2,7.4,78.5,0.42,1.59,1.12,34.28
2014,Northern,Mannar,32000,2.94,940,3.29,2.59,1.28,85.9,78.0,11.2,0.0,42100,6.8,15.8,44.5,78.5,96.2,62.0,0.7,2.58,1.14,48.45
2015,Northern,Mannar,32159,2.8,900,3.14,2.46,1.31,86.6,79.0,11.2,0.0,42100,6.8,15.8,44.5,78.5,96.2,62.0,0.68,2.58,1.09,48.45
2016,Northern,Mannar,32320,2.76,892,3.09,2.43,1.17,86.8,79.3,11.2,0.0,42100,6.8,15.8,44.5,78.5,96.2,62.0,0.66,2.58,1.07,48.45
2017,Northern,Mannar,32479,2.63,854,2.95,2.31,1.19,87.4,80.3,11.2,0.0,42100,6.8,15.8,44.5,78.5,96.2,62.0,0.64,2.58,1.02,48.45
2018,Northern,Mannar,32640,2.61,851,2.92,2.3,1.11,87.5,80.4,11.2,0.0,42100,6.8,15.8,44.5,78.5,96.2,62.0,0.62,2.58,1.01,48.45
2019,Northern,Mannar,32800,2.58,846,2.89,2.27,1.13,87.6,80.7,11.2,0.0,42100,6.8,15.8,44.5,78.5,96.2,62.0,0.62,2.58,1.0,48.45
2020,Northern,Mannar,32960,2.34,771,2.62,2.06,1.13,88.8,82.5,11.2,0.0,42100,6.8,15.8,44.5,78.5,96.2,62.0,0.56,2.58,0.91,48.45
2021,Northern,Mannar,33120,2.31,765,2.59,2.03,1.04,88.9,82.7,11.2,0.0,42100,6.8,15.8,44.5,78.5,96.2,62.0,0.56,2.58,0.9,48.45
2022,Northern,Mannar,33280,4.13,1374,4.63,3.63,1.89,80.2,69.0,11.2,0.0,42100,6.8,15.8,44.5,78.5,96.2,62.0,1.0,2.58,1.6,48.45
2023,Northern,Mannar,33440,3.79,1267,4.24,3.34,1.78,81.8,71.6,11.2,0.0,42100,6.8,15.8,44.5,78.5,96.2,62.0,0.9,2.58,1.47,48.45
2024,Northern,Mannar,33600,3.05,1024,3.42,2.68,1.4,85.4,77.1,11.2,0.0,42100,6.8,15.8,44.5,78.5,96.2,62.0,0.74,2.58,1.18,48.45
2014,Central,Matale,105000,2.34,2456,2.62,2.06,1.08,88.8,82.5,6.2,4.8,52100,7.8,16.9,51.3,81.2,18.2,68.0,0.56,2.05,1.14,43.42
2015,Central,Matale,105524,2.27,2395,2.54,2.0,1.04,89.1,83.0,6.2,4.8,52100,7.8,16.9,51.3,81.2,18.2,68.0,0.54,2.05,1.11,43.42
2016,Central,Matale,106050,2.17,2301,2.43,1.91,0.97,89.6,83.7,6.2,4.8,52100,7.8,16.9,51.3,81.2,18.2,68.0,0.52,2.05,1.06,43.42
2017,Central,Matale,106574,2.06,2195,2.31,1.81,0.97,90.1,84.5,6.2,4.8,52100,7.8,16.9,51.3,81.2,18.2,68.0,0.5,2.05,1.0,43.42
2018,Central,Matale,107100,2.1,2249,2.35,1.85,1.05,89.9,84.2,6.2,4.8,52100,7.8,16.9,51.3,81.2,18.2,68.0,0.5,2.05,1.02,43.42
2019,Central,Matale,107624,2.05,2206,2.3,1.8,0.93,90.2,84.6,6.2,4.8,52100,7.8,16.9,51.3,81.2,18.2,68.0,0.5,2.05,1.0,43.42
2020,Central,Matale,108150,1.94,2098,2.17,1.71,0.85,90.7,85.5,6.2,4.8,52100,7.8,16.9,51.3,81.2,18.2,68.0,0.46,2.05,0.95,43.42
2021,Central,Matale,108674,1.82,1977,2.04,1.6,0.79,91.3,86.3,6.2,4.8,52100,7.8,16.9,51.3,81.2,18.2,68.0,0.44,2.05,0.89,43.42
2022,Central,Matale,109200,3.84,4193,4.3,3.38,1.51,81.6,71.2,6.2,4.8,52100,7.8,16.9,51.3,81.2,18.2,68.0,0.92,2.05,1.87,43.42
2023,Central,Matale,109724,3.54,3884,3.96,3.12,1.36,83.0,73.5,6.2,4.8,52100,7.8,16.9,51.3,81.2,18.2,68.0,0.84,2.05,1.73,43.42
2024,Central,Matale,110250,2.48,2734,2.78,2.18,1.09,88.1,81.4,6.2,4.8,52100,7.8,16.9,51.3,81.2,18.2,68.0,0.6,2.05,1.21,43.42
2014,Southern,Matara,175000,1.28,2240,1.43,1.13,0.6,93.9,90.4,4.1,0.8,58900,10.5,18.6,65.2,91.8,3.2,81.5,0.3,1.16,1.1,30.63
2015,Southern,Matara,175874,1.34,2356,1.5,1.18,0.63,93.6,90.0,4.1,0.8,58900,10.5,18.6,65.2,91.8,3.2,81.5,0.32,1.16,1.16,30.63
2016,Southern,Matara,176750,1.24,2191,1.39,1.09,0.57,94.0,90.7,4.1,0.8,58900,10.5,18.6,65.2,91.8,3.2,81.5,0.3,1.16,1.07,30.63
2017,Southern,Matara,177624,1.27,2255,1.42,1.12,0.56,93.9,90.5,4.1,0.8,58900,10.5,18.6,65.2,91.8,3.2,81.5,0.3,1.16,1.09,30.63
2018,Southern,Matara,178500,1.18,2106,1.32,1.04,0.56,94.3,91.2,4.1,0.8,58900,10.5,18.6,65.2,91.8,3.2,81.5,0.28,1.16,1.02,30.63
2019,Southern,Matara,179374,1.16,2080,1.3,1.02,0.49,94.4,91.3,4.1,0.8,58900,10.5,18.6,65.2,91.8,3.2,81.5,0.28,1.16,1.0,30.63
2020,Southern,Matara,180250,1.17,2108,1.31,1.03,0.5,94.4,91.2,4.1,0.8,58900,10.5,18.6,65.2,91.8,3.2,81.5,0.28,1.16,1.01,30.63
2021,Southern,Matara,181125,1.07,1938,1.2,0.94,0.46,94.9,92.0,4.1,0.8,58900,10.5,18.6,65.2,91.8,3.2,81.5,0.26,1.16,0.92,30.63
2022,Southern,Matara,182000,1.94,3530,2.17,1.71,0.84,90.7,85.5,4.1,0.8,58900,10.5,18.6,65.2,91.8,3.2,81.5,0.46,1.16,1.67,30.63
2023,Southern,Matara,182875,1.79,3273,2.0,1.58,0.8,91.4,86.6,4.1,0.8,58900,10.5,18.6,65.2,91.8,3.2,81.5,0.42,1.16,1.54,30.63
2024,Southern,Matara,183750,1.4,2572,1.57,1.23,0.67,93.3,89.5,4.1,0.8,58900,10.5,18.6,65.2,91.8,3.2,81.5,0.34,1.16,1.21,30.63
2014,Uva,Monaragala,110000,3.86,4245,4.32,3.4,1.75,81.5,71.0,5.8,1.8,41500,4.2,16.2,31.4,73.2,9.8,54.0,0.92,3.39,1.14,59.18
2015,Uva,Monaragala,110549,3.73,4123,4.18,3.28,1.64,82.1,72.0,5.8,1.8,41500,4.2,16.2,31.4,73.2,9.8,54.0,0.9,3.39,1.1,59.18
2016,Uva,Monaragala,111100,3.61,4010,4.04,3.18,1.64,82.7,72.9,5.8,1.8,41500,4.2,16.2,31.4,73.2,9.8,54.0,0.86,3.39,1.06,59.18
2017,Uva,Monaragala,111649,3.53,3941,3.95,3.11,1.6,83.1,73.5,5.8,1.8,41500,4.2,16.2,31.4,73.2,9.8,54.0,0.84,3.39,1.04,59.18
2018,Uva,Monaragala,112200,3.39,3803,3.8,2.98,1.54,83.7,74.6,5.8,1.8,41500,4.2,16.2,31.4,73.2,9.8,54.0,0.82,3.39,1.0,59.18
2019,Uva,Monaragala,112749,3.39,3822,3.8,2.98,1.5,83.7,74.6,5.8,1.8,41500,4.2,16.2,31.4,73.2,9.8,54.0,0.82,3.39,1.0,59.18
2020,Uva,Monaragala,113300,3.16,3580,3.54,2.78,1.44,84.8,76.3,5.8,1.8,41500,4.2,16.2,31.4,73.2,9.8,54.0,0.76,3.39,0.93,59.18
2021,Uva,Monaragala,113849,3.06,3483,3.43,2.69,1.34,85.3,77.0,5.8,1.8,41500,4.2,16.2,31.4,73.2,9.8,54.0,0.74,3.39,0.9,59.18
2022,Uva,Monaragala,114400,5.48,6269,6.14,4.82,2.52,75.0,60.0,5.8,1.8,41500,4.2,16.2,31.4,73.2,9.8,54.0,1.32,3.39,1.62,59.18
2023,Uva,Monaragala,114949,5.25,6034,5.88,4.62,2.34,75.0,60.6,5.8,1.8,41500,4.2,16.2,31.4,73.2,9.8,54.0,1.26,3.39,1.55,59.18
2024,Uva,Monaragala,115500,4.0,4620,4.48,3.52,1.83,80.8,70.0,5.8,1.8,41500,4.2,16.2,31.4,73.2,9.8,54.0,0.96,3.39,1.18,59.18
2014,Northern,Mullaitivu,28000,4.09,1145,4.58,3.6,1.88,80.4,69.3,12.7,0.0,35400,5.1,15.2,29.5,71.8,99.2,51.0,0.98,3.56,1.15,59.01
2015,Northern,Mullaitivu,28139,3.95,1111,4.42,3.48,1.77,81.0,70.4,12.7,0.0,35400,5.1,15.2,29.5,71.8,99.2,51.0,0.94,3.56,1.11,59.01
2016,Northern,Mullaitivu,28280,3.74,1057,4.19,3.29,1.69,82.0,72.0,12.7,0.0,35400,5.1,15.2,29.5,71.8,99.2,51.0,0.9,3.56,1.05,59.01
2017,Northern,Mullaitivu,28419,3.71,1054,4.16,3.26,1.71,82.2,72.2,12.7,0.0,35400,5.1,15.2,29.5,71.8,99.2,51.0,0.9,3.56,1.04,59.01
2018,Northern,Mullaitivu,28560,3.64,1039,4.08,3.2,1.6,82.5,72.7,12.7,0.0,35400,5.1,15.2,29.5,71.8,99.2,51.0,0.88,3.56,1.02,59.01
2019,Northern,Mullaitivu,28699,3.56,1021,3.99,3.13,1.58,82.9,73.3,12.7,0.0,35400,5.1,15.2,29.5,71.8,99.2,51.0,0.86,3.56,1.0,59.01
2020,Northern,Mullaitivu,28840,3.42,986,3.83,3.01,1.53,83.6,74.3,12.7,0.0,35400,5.1,15.2,29.5,71.8,99.2,51.0,0.82,3.56,0.96,59.01
2021,Northern,Mullaitivu,28979,3.2,927,3.58,2.82,1.43,84.6,76.0,12.7,0.0,35400,5.1,15.2,29.5,71.8,99.2,51.0,0.76,3.56,0.9,59.01
2022,Northern,Mullaitivu,29120,5.8,1688,6.5,5.1,2.65,75.0,60.0,12.7,0.0,35400,5.1,15.2,29.5,71.8,99.2,51.0,1.4,3.56,1.63,59.01
2023,Northern,Mullaitivu,29259,5.48,1603,6.14,4.82,2.46,75.0,60.0,12.7,0.0,35400,5.1,15.2,29.5,71.8,99.2,51.0,1.32,3.56,1.54,59.01
2024,Northern,Mullaitivu,29400,4.26,1252,4.77,3.75,1.96,79.6,68.0,12.7,0.0,35400,5.1,15.2,29.5,71.8,99.2,51.0,1.02,3.56,1.2,59.01
2014,Central,Nuwara Eliya,165000,4.33,7144,4.85,3.81,1.95,79.2,67.5,6.7,53.5,38400,4.6,17.8,34.2,72.5,64.2,52.0,1.04,3.69,1.17,57.67
2015,Central,Nuwara Eliya,165824,4.13,6848,4.63,3.63,1.86,80.2,69.0,6.7,53.5,38400,4.6,17.8,34.2,72.5,64.2,52.0,1.0,3.69,1.12,57.67
2016,Central,Nuwara Eliya,166650,3.89,6482,4.36,3.42,1.79,81.3,70.8,6.7,53.5,38400,4.6,17.8,34.2,72.5,64.2,52.0,0.94,3.69,1.05,57.67
2017,Central,Nuwara Eliya,167474,3.85,6447,4.31,3.39,1.78,81.5,71.1,6.7,53.5,38400,4.6,17.8,34.2,72.5,64.2,52.0,0.92,3.69,1.04,57.67
2018,Central,Nuwara Eliya,168300,3.85,6479,4.31,3.39,1.75,81.5,71.1,6.7,53.5,38400,4.6,17.8,34.2,72.5,64.2,52.0,0.92,3.69,1.04,57.67
2019,Central,Nuwara Eliya,169124,3.69,6240,4.13,3.25,1.68,82.3,72.3,6.7,53.5,38400,4.6,17.8,34.2,72.5,64.2,52.0,0.88,3.69,1.0,57.67
2020,Central,Nuwara Eliya,169950,3.52,5982,3.94,3.1,1.62,83.1,73.6,6.7,53.5,38400,4.6,17.8,34.2,72.5,64.2,52.0,0.84,3.69,0.95,57.67
2021,Central,Nuwara Eliya,170775,3.35,5720,3.75,2.95,1.54,83.9,74.9,6.7,53.5,38400,4.6,17.8,34.2,72.5,64.2,52.0,0.8,3.69,0.91,57.67
2022,Central,Nuwara Eliya,171600,7.1,12183,7.95,6.25,2.73,75.0,60.0,6.7,53.5,38400,4.6,17.8,34.2,72.5,64.2,52.0,1.7,3.69,1.92,57.67
2023,Central,Nuwara Eliya,172425,6.68,11517,7.48,5.88,2.58,75.0,60.0,6.7,53.5,38400,4.6,17.8,34.2,72.5,64.2,52.0,1.6,3.69,1.81,57.67
2024,Central,Nuwara Eliya,173250,4.58,7934,5.13,4.03,2.05,78.0,65.7,6.7,53.5,38400,4.6,17.8,34.2,72.5,64.2,52.0,1.1,3.69,1.24,57.67
2014,North Central,Polonnaruwa,95000,2.35,2232,2.63,2.07,1.04,88.7,82.4,6.1,0.0,51900,7.6,17.2,52.0,82.8,9.5,69.5,0.56,1.97,1.19,42.96
2015,North Central,Polonnaruwa,95474,2.2,2100,2.46,1.94,1.02,89.4,83.5,6.1,0.0,51900,7.6,17.2,52.0,82.8,9.5,69.5,0.52,1.97,1.12,42.96
2016,North Central,Polonnaruwa,95950,2.12,2034,2.37,1.87,0.99,89.8,84.1,6.1,0.0,51900,7.6,17.2,52.0,82.8,9.5,69.5,0.5,1.97,1.08,42.96
2017,North Central,Polonnaruwa,96424,2.05,1976,2.3,1.8,0.96,90.2,84.6,6.1,0.0,51900,7.6,17.2,52.0,82.8,9.5,69.5,0.5,1.97,1.04,42.96
2018,North Central,Polonnaruwa,96900,1.98,1918,2.22,1.74,0.91,90.5,85.2,6.1,0.0,51900,7.6,17.2,52.0,82.8,9.5,69.5,0.48,1.97,1.01,42.96
2019,North Central,Polonnaruwa,97374,1.97,1918,2.21,1.73,0.88,90.5,85.2,6.1,0.0,51900,7.6,17.2,52.0,82.8,9.5,69.5,0.48,1.97,1.0,42.96
2020,North Central,Polonnaruwa,97850,1.83,1790,2.05,1.61,0.85,91.2,86.3,6.1,0.0,51900,7.6,17.2,52.0,82.8,9.5,69.5,0.44,1.97,0.93,42.96
2021,North Central,Polonnaruwa,98324,1.72,1691,1.93,1.51,0.81,91.7,87.1,6.1,0.0,51900,7.6,17.2,52.0,82.8,9.5,69.5,0.42,1.97,0.87,42.96
2022,North Central,Polonnaruwa,98800,3.28,3240,3.67,2.89,1.46,84.3,75.4,6.1,0.0,51900,7.6,17.2,52.0,82.8,9.5,69.5,0.78,1.97,1.66,42.96
2023,North Central,Polonnaruwa,99275,3.04,3017,3.4,2.68,1.41,85.4,77.2,6.1,0.0,51900,7.6,17.2,52.0,82.8,9.5,69.5,0.72,1.97,1.54,42.96
2024,North Central,Polonnaruwa,99750,2.46,2453,2.76,2.16,1.06,88.2,81.5,6.1,0.0,51900,7.6,17.2,52.0,82.8,9.5,69.5,0.6,1.97,1.25,42.96
2014,North Western,Puttalam,165000,3.11,5131,3.48,2.74,1.34,85.1,76.7,8.3,0.3,46200,7.0,19.4,48.5,80.5,34.2,70.0,0.74,2.65,1.17,45.95
2015,North Western,Puttalam,165824,3.0,4974,3.36,2.64,1.34,85.6,77.5,8.3,0.3,46200,7.0,19.4,48.5,80.5,34.2,70.0,0.72,2.65,1.13,45.95
2016,North Western,Puttalam,166650,2.79,4649,3.12,2.46,1.26,86.6,79.1,8.3,0.3,46200,7.0,19.4,48.5,80.5,34.2,70.0,0.66,2.65,1.05,45.95
2017,North Western,Puttalam,167474,2.8,4689,3.14,2.46,1.25,86.6,79.0,8.3,0.3,46200,7.0,19.4,48.5,80.5,34.2,70.0,0.68,2.65,1.06,45.95
2018,North Western,Puttalam,168300,2.61,4392,2.92,2.3,1.23,87.5,80.4,8.3,0.3,46200,7.0,19.4,48.5,80.5,34.2,70.0,0.62,2.65,0.98,45.95
2019,North Western,Puttalam,169124,2.65,4481,2.97,2.33,1.21,87.3,80.1,8.3,0.3,46200,7.0,19.4,48.5,80.5,34.2,70.0,0.64,2.65,1.0,45.95
2020,North Western,Puttalam,169950,2.47,4197,2.77,2.17,1.12,88.1,81.5,8.3,0.3,46200,7.0,19.4,48.5,80.5,34.2,70.0,0.6,2.65,0.93,45.95
2021,North Western,Puttalam,170775,2.38,4064,2.67,2.09,1.12,88.6,82.2,8.3,0.3,46200,7.0,19.4,48.5,80.5,34.2,70.0,0.58,2.65,0.9,45.95
2022,North Western,Puttalam,171600,4.45,7636,4.98,3.92,1.92,78.6,66.6,8.3,0.3,46200,7.0,19.4,48.5,80.5,34.2,70.0,1.06,2.65,1.68,45.95
2023,North Western,Puttalam,172425,4.04,6965,4.52,3.56,1.8,80.6,69.7,8.3,0.3,46200,7.0,19.4,48.5,80.5,34.2,70.0,0.96,2.65,1.52,45.95
2024,North Western,Puttalam,173250,3.2,5544,3.58,2.82,1.45,84.6,76.0,8.3,0.3,46200,7.0,19.4,48.5,80.5,34.2,70.0,0.76,2.65,1.21,45.95
2014,Sabaragamuwa,Ratnapura,235000,2.97,6979,3.33,2.61,1.38,85.7,77.7,5.9,8.1,49200,7.1,18.0,49.8,81.5,17.5,65.0,0.72,2.61,1.14,44.98
2015,Sabaragamuwa,Ratnapura,236174,2.86,6754,3.2,2.52,1.29,86.3,78.5,5.9,8.1,49200,7.1,18.0,49.8,81.5,17.5,65.0,0.68,2.61,1.1,44.98
2016,Sabaragamuwa,Ratnapura,237350,2.67,6337,2.99,2.35,1.19,87.2,80.0,5.9,8.1,49200,7.1,18.0,49.8,81.5,17.5,65.0,0.64,2.61,1.02,44.98
2017,Sabaragamuwa,Ratnapura,238524,2.63,6273,2.95,2.31,1.21,87.4,80.3,5.9,8.1,49200,7.1,18.0,49.8,81.5,17.5,65.0,0.64,2.61,1.01,44.98
2018,Sabaragamuwa,Ratnapura,239700,2.6,6232,2.91,2.29,1.16,87.5,80.5,5.9,8.1,49200,7.1,18.0,49.8,81.5,17.5,65.0,0.62,2.61,1.0,44.98
2019,Sabaragamuwa,Ratnapura,240874,2.61,6286,2.92,2.3,1.16,87.5,80.4,5.9,8.1,49200,7.1,18.0,49.8,81.5,17.5,65.0,0.62,2.61,1.0,44.98
2020,Sabaragamuwa,Ratnapura,242050,2.35,5688,2.63,2.07,1.05,88.7,82.4,5.9,8.1,49200,7.1,18.0,49.8,81.5,17.5,65.0,0.56,2.61,0.9,44.98
2021,Sabaragamuwa,Ratnapura,243224,2.19,5326,2.45,1.93,1.07,89.5,83.6,5.9,8.1,49200,7.1,18.0,49.8,81.5,17.5,65.0,0.52,2.61,0.84,44.98
2022,Sabaragamuwa,Ratnapura,244400,4.87,11902,5.45,4.29,1.87,76.6,63.5,5.9,8.1,49200,7.1,18.0,49.8,81.5,17.5,65.0,1.16,2.61,1.87,44.98
2023,Sabaragamuwa,Ratnapura,245574,4.47,10977,5.01,3.93,1.76,78.5,66.5,5.9,8.1,49200,7.1,18.0,49.8,81.5,17.5,65.0,1.08,2.61,1.71,44.98
2024,Sabaragamuwa,Ratnapura,246750,3.16,7797,3.54,2.78,1.4,84.8,76.3,5.9,8.1,49200,7.1,18.0,49.8,81.5,17.5,65.0,0.76,2.61,1.21,44.98
2014,Eastern,Trincomalee,95000,3.25,3087,3.64,2.86,1.43,84.4,75.6,9.8,0.1,44500,7.2,17.1,46.8,79.4,78.5,66.5,0.78,2.87,1.13,46.66
2015,Eastern,Trincomalee,95474,3.17,3026,3.55,2.79,1.38,84.8,76.2,9.8,0.1,44500,7.2,17.1,46.8,79.4,78.5,66.5,0.76,2.87,1.1,46.66
2016,Eastern,Trincomalee,95950,2.92,2801,3.27,2.57,1.35,86.0,78.1,9.8,0.1,44500,7.2,17.1,46.8,79.4,78.5,66.5,0.7,2.87,1.02,46.66
2017,Eastern,Trincomalee,96424,2.86,2757,3.2,2.52,1.33,86.3,78.5,9.8,0.1,44500,7.2,17.1,46.8,79.4,78.5,66.5,0.68,2.87,1.0,46.66
2018,Eastern,Trincomalee,96900,2.85,2761,3.19,2.51,1.26,86.3,78.6,9.8,0.1,44500,7.2,17.1,46.8,79.4,78.5,66.5,0.68,2.87,0.99,46.66
2019,Eastern,Trincomalee,97374,2.87,2794,3.21,2.53,1.22,86.2,78.5,9.8,0.1,44500,7.2,17.1,46.8,79.4,78.5,66.5,0.68,2.87,1.0,46.66
2020,Eastern,Trincomalee,97850,2.64,2583,2.96,2.32,1.17,87.3,80.2,9.8,0.1,44500,7.2,17.1,46.8,79.4,78.5,66.5,0.64,2.87,0.92,46.66
2021,Eastern,Trincomalee,98324,2.37,2330,2.65,2.09,1.1,88.6,82.2,9.8,0.1,44500,7.2,17.1,46.8,79.4,78.5,66.5,0.56,2.87,0.83,46.66
2022,Eastern,Trincomalee,98800,4.57,4515,5.12,4.02,2.09,78.1,65.7,9.8,0.1,44500,7.2,17.1,46.8,79.4,78.5,66.5,1.1,2.87,1.59,46.66
2023,Eastern,Trincomalee,99275,4.2,4169,4.7,3.7,1.93,79.8,68.5,9.8,0.1,44500,7.2,17.1,46.8,79.4,78.5,66.5,1.0,2.87,1.46,46.66
2024,Eastern,Trincomalee,99750,3.41,3401,3.82,3.0,1.5,83.6,74.4,9.8,0.1,44500,7.2,17.1,46.8,79.4,78.5,66.5,0.82,2.87,1.19,46.66
2014,Northern,Vavuniya,45000,2.18,981,2.44,1.92,1.0,89.5,83.7,7.4,0.0,47800,8.5,16.5,52.4,82.6,88.4,69.5,0.52,1.84,1.18,41.51
2015,Northern,Vavuniya,45224,1.97,890,2.21,1.73,0.97,90.5,85.2,7.4,0.0,47800,8.5,16.5,52.4,82.6,88.4,69.5,0.48,1.84,1.07,41.51
2016,Northern,Vavuniya,45450,2.05,931,2.3,1.8,0.97,90.2,84.6,7.4,0.0,47800,8.5,16.5,52.4,82.6,88.4,69.5,0.5,1.84,1.11,41.51
2017,Northern,Vavuniya,45674,1.99,908,2.23,1.75,0.91,90.4,85.1,7.4,0.0,47800,8.5,16.5,52.4,82.6,88.4,69.5,0.48,1.84,1.08,41.51
2018,Northern,Vavuniya,45900,1.91,876,2.14,1.68,0.9,90.8,85.7,7.4,0.0,47800,8.5,16.5,52.4,82.6,88.4,69.5,0.46,1.84,1.04,41.51
2019,Northern,Vavuniya,46124,1.84,848,2.06,1.62,0.86,91.2,86.2,7.4,0.0,47800,8.5,16.5,52.4,82.6,88.4,69.5,0.44,1.84,1.0,41.51
2020,Northern,Vavuniya,46350,1.73,801,1.94,1.52,0.77,91.7,87.0,7.4,0.0,47800,8.5,16.5,52.4,82.6,88.4,69.5,0.42,1.84,0.94,41.51
2021,Northern,Vavuniya,46575,1.79,833,2.0,1.58,0.73,91.4,86.6,7.4,0.0,47800,8.5,16.5,52.4,82.6,88.4,69.5,0.42,1.84,0.97,41.51
2022,Northern,Vavuniya,46800,3.14,1469,3.52,2.76,1.44,84.9,76.5,7.4,0.0,47800,8.5,16.5,52.4,82.6,88.4,69.5,0.76,1.84,1.71,41.51
2023,Northern,Vavuniya,47025,2.98,1401,3.34,2.62,1.3,85.7,77.7,7.4,0.0,47800,8.5,16.5,52.4,82.6,88.4,69.5,0.72,1.84,1.62,41.51
2024,Northern,Vavuniya,47250,2.27,1072,2.54,2.0,0.99,89.1,83.0,7.4,0.0,47800,8.5,16.5,52.4,82.6,88.4,69.5,0.54,1.84,1.23,41.51
